match_id,game_date,game_duration_min,champion,position,win,kills,deaths,assists,kda,cs,cs_per_min,gold,gold_per_min,damage,damage_per_min,vision_score,double_kills,triple_kills,quadra_kills,penta_kills,game_mode
KR_8368619459,2026-09-04 16:31:03.096,31.72,Galio,MIDDLE,1,12,5,19,6.2,170,5.36,14431,455.0,34693,1093.84,30,2,0,0,0,CLASSIC
KR_8368573700,2026-09-04 16:06:18.904,19.5,Sona,UTILITY,1,2,3,15,5.67,16,0.82,6704,343.79,10191,522.62,57,0,0,0,0,CLASSIC
KR_8368484850,2026-09-04 15:19:39.049,39.13,Jayce,TOP,0,8,10,13,2.1,304,7.77,16589,423.91,41094,1050.1,28,0,0,0,0,CLASSIC
KR_8368428766,2026-09-04 14:53:07.398,21.8,Ahri,MIDDLE,1,10,1,6,16.0,190,8.72,11686,536.06,21053,965.73,19,2,0,0,0,CLASSIC
KR_8367606873,2026-09-04 04:59:08.137,39.58,Darius,TOP,0,11,10,3,1.4,321,8.11,18470,466.61,34985,883.83,33,1,0,0,0,CLASSIC
KR_8361943089,2026-08-30 11:33:04.691,36.88,Diana,MIDDLE,0,11,14,7,1.29,217,5.88,14800,401.27,39752,1077.78,38,1,0,0,0,CLASSIC
KR_8361863637,2026-08-30 10:58:34.300,29.48,Yasuo,MIDDLE,0,4,13,2,0.46,223,7.56,10636,360.75,17097,579.89,23,0,0,0,0,CLASSIC
KR_8357436899,2026-08-27 14:53:08.401,34.22,Garen,TOP,1,13,6,8,3.5,282,8.24,17583,513.87,43532,1272.25,16,2,0,0,0,CLASSIC
KR_8357401332,2026-08-27 14:31:35.965,15.55,Irelia,TOP,0,1,4,1,0.5,152,9.77,6533,420.13,8450,543.41,10,0,0,0,0,CLASSIC
KR_8356308515,2026-08-26 16:04:02.467,27.0,Thresh,UTILITY,0,0,7,9,1.29,19,0.7,6834,253.11,5279,195.52,62,0,0,0,0,CLASSIC
KR_8356254598,2026-08-26 15:21:24.180,35.28,Irelia,TOP,1,7,11,13,1.82,287,8.13,16678,472.69,31235,885.26,30,1,0,0,0,CLASSIC
